Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,5.750000,5.890000,5.740000,5.800000,5.344815,246293200
2012-01-04,5.710000,5.880000,5.620000,5.810000,5.354030,243711200
2012-01-05,5.750000,6.350000,5.710000,6.310000,5.814790,547780000
2012-01-06,6.210000,6.300000,6.060000,6.180000,5.694992,299630600
2012-01-09,6.260000,6.370000,6.190000,6.270000,5.777929,240614400
2012-01-10,6.440000,6.660000,6.440000,6.630000,6.109676,354292100
2012-01-11,6.600000,6.900000,6.520000,6.870000,6.330842,354039600
2012-01-12,6.990000,7.020000,6.660000,6.790000,6.257119,362099600
2012-01-13,6.490000,6.690000,6.410000,6.610000,6.091246,337048400
2012-01-17,6.630000,6.820000,6.440000,6.480000,5.971447,294196500
2012-01-18,6.500000,6.800000,6.460000,6.800000,6.266334,302497700
2012-01-19,7.210000,7.290000,6.750000,6.960000,6.413778,491008100
2012-01-20,6.950000,7.080000,6.830000,7.070000,6.515144,236630700
2012-01-23,7.130000,7.370000,7.110000,7.250000,6.681019,339942200
2012-01-24,7.110000,7.350000,7.060000,7.290000,6.717880,228810300
2012-01-25,7.200000,7.370000,7.150000,7.350000,6.773170,249340100
2012-01-26,7.450000,7.500000,7.230000,7.300000,6.727094,265938800
2012-01-27,7.210000,7.350000,7.200000,7.290000,6.717880,230914000
2012-01-30,7.130000,7.150000,7.020000,7.070000,6.515144,231240100
2012-01-31,7.170000,7.190000,7.050000,7.130000,6.570435,212736300
2012-02-01,7.250000,7.440000,7.210000,7.360000,6.782386,318811000
2012-02-02,7.430000,7.490000,7.330000,7.450000,6.865322,232425400
2012-02-03,7.660000,7.890000,7.630000,7.840000,7.224715,364195700
2012-02-06,7.790000,7.970000,7.770000,7.970000,7.344513,236316000
2012-02-07,7.950000,7.990000,7.800000,7.850000,7.233931,253694200
2012-02-08,7.960000,8.150000,7.930000,8.130000,7.491956,436439700
2012-02-09,8.310000,8.350000,8.100000,8.180000,7.538032,480206700
2012-02-10,8.050000,8.120000,7.980000,8.070000,7.436663,254420800
2012-02-13,8.270000,8.310000,8.210000,8.250000,7.602540,308490200
2012-02-14,8.150000,8.170000,7.950000,7.980000,7.353729,384682800
2012-02-15,8.010000,8.120000,7.770000,7.780000,7.169424,372981400
2012-02-16,7.710000,8.130000,7.660000,8.090000,7.455095,337131800
2012-02-17,8.040000,8.080000,7.920000,8.020000,7.390590,355445600
2012-02-21,8.030000,8.200000,8.000000,8.110000,7.473525,333407700
2012-02-22,8.060000,8.130000,7.950000,7.950000,7.326082,228867800
2012-02-23,7.970000,8.050000,7.900000,8.020000,7.390590,144231800
2012-02-24,8.050000,8.090000,7.880000,7.880000,7.261576,163128200
2012-02-27,7.790000,8.050000,7.670000,8.040000,7.409019,298930800
2012-02-28,8.050000,8.150000,8.000000,8.120000,7.482741,193443200
2012-02-29,8.160000,8.240000,7.970000,7.970000,7.353570,266720500
2012-03-01,8.090000,8.170000,8.050000,8.120000,7.491968,197850100
2012-03-02,8.110000,8.210000,8.100000,8.130000,7.501194,143887500
2012-03-05,8.090000,8.130000,7.950000,7.970000,7.353570,196328300
2012-03-06,7.780000,7.790000,7.660000,7.710000,7.113678,262871200
2012-03-07,7.810000,8.020000,7.770000,8.020000,7.399702,328331900
2012-03-08,8.070000,8.120000,8.000000,8.060000,7.436607,160282000
2012-03-09,8.120000,8.190000,8.010000,8.050000,7.427383,195281400
2012-03-12,8.010000,8.060000,7.910000,7.990000,7.372022,165298900
2012-03-13,8.070000,8.500000,8.050000,8.490000,7.833352,385984100
2012-03-14,8.660000,8.900000,8.560000,8.840000,8.156280,488077000
2012-03-15,8.980000,9.250000,8.850000,9.240000,8.525342,489593000
2012-03-16,9.410000,9.800000,9.330000,9.800000,9.042030,582294100
2012-03-19,9.780000,10.100000,9.510000,9.530000,8.792914,669479900
2012-03-20,9.630000,9.970000,9.590000,9.810000,9.051255,451213900
2012-03-21,9.960000,10.030000,9.740000,9.820000,9.060484,326573800
2012-03-22,9.660000,9.770000,9.520000,9.600000,8.857498,264520500
2012-03-23,9.470000,9.850000,9.400000,9.850000,9.088162,283110900
2012-03-26,10.010000,10.040000,9.850000,9.930000,9.161978,241605700
2012-03-27,9.870000,9.900000,9.580000,9.600000,8.857498,250069600
2012-03-28,9.620000,9.780000,9.580000,9.750000,8.995897,234021500
2012-03-29,9.630000,9.680000,9.430000,9.530000,8.792914,253625800
2012-03-30,9.610000,9.640000,9.350000,9.570000,8.829819,250234500
2012-04-02,9.540000,9.780000,9.410000,9.680000,8.931312,179229000
2012-04-03,9.670000,9.670000,9.410000,9.490000,8.756007,190453400
2012-04-04,9.350000,9.360000,9.150000,9.200000,8.488432,228560600
2012-04-05,9.140000,9.400000,9.110000,9.230000,8.516118,180868100
2012-04-09,9.040000,9.040000,8.830000,8.930000,8.239319,211427600
2012-04-10,8.970000,9.090000,8.500000,8.540000,7.879483,377220000
2012-04-11,8.780000,8.910000,8.720000,8.860000,8.174731,252563700
2012-04-12,8.930000,9.180000,8.910000,9.170000,8.460756,223979900
2012-04-13,9.080000,9.080000,8.680000,8.680000,8.008655,282354600
2012-04-16,8.870000,8.930000,8.620000,8.790000,8.110146,217284500
2012-04-17,8.970000,9.000000,8.870000,8.920000,8.230092,193424400
2012-04-18,8.880000,9.000000,8.840000,8.920000,8.230092,160064100
2012-04-19,9.160000,9.170000,8.670000,8.770000,8.091694,348804500
2012-04-20,8.780000,8.780000,8.330000,8.360000,7.713406,277965300
2012-04-23,8.020000,8.300000,7.950000,8.180000,7.547327,256073900
2012-04-24,8.250000,8.270000,8.100000,8.210000,7.575008,192443800
2012-04-25,8.300000,8.350000,8.170000,8.260000,7.621140,164902400
2012-04-26,8.190000,8.400000,8.170000,8.270000,7.630366,131586300
2012-04-27,8.340000,8.340000,8.190000,8.250000,7.611913,120948200
2012-04-30,8.220000,8.240000,8.040000,8.110000,7.482741,137422300
2012-05-01,8.110000,8.400000,8.080000,8.310000,7.667271,177953400
2012-05-02,8.210000,8.230000,8.120000,8.160000,7.528874,136208900
2012-05-03,8.180000,8.180000,7.910000,8.000000,7.381248,204584500
2012-05-04,7.900000,7.920000,7.700000,7.740000,7.141357,194857200
2012-05-07,7.710000,8.000000,7.660000,7.960000,7.344343,167662600
2012-05-08,7.870000,7.900000,7.690000,7.790000,7.187491,180627900
2012-05-09,7.670000,7.820000,7.650000,7.730000,7.132132,174742300
2012-05-10,7.910000,7.940000,7.670000,7.700000,7.104451,156787300
2012-05-11,7.480000,7.770000,7.410000,7.550000,6.966053,245533600
2012-05-14,7.370000,7.520000,7.350000,7.350000,6.781521,170716800
2012-05-15,7.370000,7.550000,7.250000,7.300000,6.735389,201254900
2012-05-16,7.400000,7.470000,7.080000,7.110000,6.560085,216226100
2012-05-17,7.100000,7.250000,6.930000,6.980000,6.440139,241468300
2012-05-18,7.010000,7.030000,6.890000,7.020000,6.477046,223783500
2012-05-21,7.030000,7.110000,6.720000,6.830000,6.301741,229980800
2012-05-22,6.920000,7.150000,6.860000,6.980000,6.440139,221551500
2012-05-23,6.900000,7.170000,6.850000,7.170000,6.615446,194441500
2012-05-24,7.260000,7.330000,7.010000,7.140000,6.587765,206041500
2012-05-25,7.070000,7.250000,7.070000,7.150000,6.596991,108661200
2012-05-29,7.280000,7.450000,7.220000,7.440000,6.864561,159872200
2012-05-30,7.330000,7.410000,7.100000,7.200000,6.652065,206801500
2012-05-31,7.210000,7.370000,7.040000,7.350000,6.790649,203267300
2012-06-01,7.120000,7.190000,6.940000,7.020000,6.485764,240859000
2012-06-04,7.100000,7.100000,6.850000,6.900000,6.374896,163821500
2012-06-05,6.910000,7.140000,6.900000,7.100000,6.559676,147346700
2012-06-06,7.240000,7.770000,7.180000,7.640000,7.058579,356852900
2012-06-07,7.810000,7.900000,7.380000,7.420000,6.855322,276170400
2012-06-08,7.350000,7.580000,7.200000,7.560000,6.984669,234555000
2012-06-11,7.720000,7.770000,7.280000,7.280000,6.725977,204590700
2012-06-12,7.320000,7.500000,7.220000,7.490000,6.919994,148255600
2012-06-13,7.400000,7.610000,7.350000,7.500000,6.929235,162374500
2012-06-14,7.520000,7.690000,7.450000,7.660000,7.077057,157528300
2012-06-15,7.720000,7.900000,7.550000,7.900000,7.298793,211751900
2012-06-18,7.770000,7.910000,7.730000,7.760000,7.169448,140319900
