Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,10.787977,10.942324,10.779854,10.836719,7.215596,103362000
2012-01-04,10.755484,10.844842,10.682372,10.804224,7.193959,69833800
2012-01-05,10.706742,11.007311,10.658002,10.950447,7.291321,89935200
2012-01-06,10.958570,10.958570,10.812347,10.885459,7.248051,83878600
2012-01-09,10.926076,10.991064,10.869212,10.942324,7.285913,69189500
2012-01-10,11.112916,11.177904,11.064176,11.137287,7.415730,86035000
2012-01-11,11.088546,11.275386,11.047929,11.267262,7.502272,80938900
2012-01-12,11.316003,11.372868,11.169781,11.307879,7.529316,94107100
2012-01-13,11.080422,11.234769,11.031682,11.226645,7.475229,95008900
2012-01-17,11.234769,11.348497,11.096669,11.137287,7.415730,89019600
2012-01-18,11.112916,11.324127,11.064176,11.307879,7.529316,118473900
2012-01-19,11.421609,11.454103,11.364744,11.413485,7.599636,131377200
2012-01-20,11.372868,11.502843,11.340374,11.486596,7.648314,114827300
2012-01-23,11.494720,11.608448,11.454103,11.527214,7.675359,99325900
2012-01-24,11.413485,11.527214,11.356621,11.510966,7.664542,80650000
2012-01-25,11.445979,11.567831,11.405361,11.535337,7.680768,103761900
2012-01-26,11.592201,11.649066,11.372868,11.437856,7.615861,104215400
2012-01-27,11.372868,11.519090,11.356621,11.478473,7.642907,103542300
2012-01-30,11.348497,11.397238,11.275386,11.372868,7.572589,71714400
2012-01-31,11.445979,11.462226,11.340374,11.421609,7.605043,82584300
2012-02-01,11.519090,11.681560,11.519090,11.600325,7.724041,87912300
2012-02-02,11.640943,11.705930,11.575954,11.657189,7.761904,65660100
2012-02-03,11.852153,11.974005,11.835906,11.974005,7.972854,106830700
2012-02-06,11.900893,11.925264,11.844029,11.917141,7.934991,55279600
2012-02-07,11.868400,11.949635,11.819659,11.909017,7.929583,56189600
2012-02-08,11.925264,11.998375,11.884646,11.998375,7.989079,66141900
2012-02-09,12.047116,12.071486,11.884646,11.949635,7.956627,95860800
2012-02-10,11.819659,11.852153,11.770918,11.835906,7.880902,79561600
