name,expiration,type,strike,implied_vol
AMZN190215P01340000,2019-02-15,P,1340.0,0.48952401446564425
AMZN190215C01350000,2019-02-15,C,1350.0,0.6713369118906286
AMZN190215P01350000,2019-02-15,P,1350.0,0.4685945949895912
AMZN190215P01355000,2019-02-15,P,1355.0,0.44949940098521046
AMZN190215P01360000,2019-02-15,P,1360.0,0.44993870093694427
AMZN190215P01375000,2019-02-15,P,1375.0,0.4779192126925339
AMZN190215P01390000,2019-02-15,P,1390.0,0.43276009962077033
AMZN190215C01400000,2019-02-15,C,1400.0,0.9025380237043397
AMZN190215P01400000,2019-02-15,P,1400.0,0.42306679289054383
AMZN190215P01405000,2019-02-15,P,1405.0,0.41767880129997076
AMZN190215P01410000,2019-02-15,P,1410.0,0.42239536714675785
AMZN190215P01425000,2019-02-15,P,1425.0,0.4072899220849547
AMZN190215C01430000,2019-02-15,C,1430.0,0.5020366713058116
AMZN190215P01430000,2019-02-15,P,1430.0,0.4033532228006426
AMZN190215P01440000,2019-02-15,P,1440.0,0.395464604467992
AMZN190215P01445000,2019-02-15,P,1445.0,0.39143787930383706
AMZN190215C01450000,2019-02-15,C,1450.0,0.5183580259209899
AMZN190215P01450000,2019-02-15,P,1450.0,0.3781178296374543
AMZN190215P01455000,2019-02-15,P,1455.0,0.38458581470772435
AMZN190215P01460000,2019-02-15,P,1460.0,0.37452469701352326
AMZN190215C01465000,2019-02-15,C,1465.0,0.5257828351927967
AMZN190215P01465000,2019-02-15,P,1465.0,0.3653649844781822
AMZN190215P01470000,2019-02-15,P,1470.0,0.3607382981673531
AMZN190215P01475000,2019-02-15,P,1475.0,0.3557145565062228
AMZN190215C01480000,2019-02-15,C,1480.0,0.6397621650395431
AMZN190215P01480000,2019-02-15,P,1480.0,0.35045561583145807
AMZN190215P01485000,2019-02-15,P,1485.0,0.341563151620538
AMZN190215C01490000,2019-02-15,C,1490.0,0.6323267527988978
AMZN190215P01490000,2019-02-15,P,1490.0,0.3481664072217234
AMZN190215P01495000,2019-02-15,P,1495.0,0.33923962536980123
AMZN190215C01500000,2019-02-15,C,1500.0,0.4113160892721795
AMZN190215P01500000,2019-02-15,P,1500.0,0.3345919631021407
