name,expiration,type,strike,computed_prices
AMZN190215P01555000,2019-02-15,P,1555.00,9.69
AMZN190215C01560000,2019-02-15,C,1560.00,64.17
AMZN190215P01560000,2019-02-15,P,1560.00,10.24
AMZN190215P01565000,2019-02-15,P,1565.00,11.18
AMZN190215C01565000,2019-02-15,C,1565.00,61.18
AMZN190215P01570000,2019-02-15,P,1570.00,11.98
AMZN190215C01570000,2019-02-15,C,1570.00,56.93
AMZN190215C01575000,2019-02-15,C,1575.00,68.06
AMZN190215P01575000,2019-02-15,P,1575.00,12.95
AMZN190215C01580000,2019-02-15,C,1580.00,49.62
AMZN190215P01580000,2019-02-15,P,1580.00,13.86
AMZN190215P01585000,2019-02-15,P,1585.00,14.72
AMZN190215C01585000,2019-02-15,C,1585.00,50.98
AMZN190215P01590000,2019-02-15,P,1590.00,15.73
AMZN190215C01590000,2019-02-15,C,1590.00,46.77
AMZN190215P01595000,2019-02-15,P,1595.00,16.31
AMZN190215C01600000,2019-02-15,C,1600.00,37.04
AMZN190215P01600000,2019-02-15,P,1600.00,17.04
AMZN190215P01605000,2019-02-15,P,1605.00,17.66
AMZN190215C01605000,2019-02-15,C,1605.00,36.83
AMZN190215P01610000,2019-02-15,P,1610.00,18.44
AMZN190215C01610000,2019-02-15,C,1610.00,34.39
AMZN190215C01615000,2019-02-15,C,1615.00,27.65
AMZN190215P01615000,2019-02-15,P,1615.00,18.93
AMZN190215P01620000,2019-02-15,P,1620.00,19.67
AMZN190215C01620000,2019-02-15,C,1620.00,26.34
AMZN190215C01625000,2019-02-15,C,1625.00,23.70
AMZN190215P01625000,2019-02-15,P,1625.00,20.37
AMZN190215C01630000,2019-02-15,C,1630.00,21.23
AMZN190215P01630000,2019-02-15,P,1630.00,21.37
AMZN190215P01635000,2019-02-15,P,1635.00,22.48
AMZN190215C01635000,2019-02-15,C,1635.00,19.44
AMZN190215C01640000,2019-02-15,C,1640.00,17.34
AMZN190215P01640000,2019-02-15,P,1640.00,24.18
AMZN190215P01645000,2019-02-15,P,1645.00,25.86
AMZN190215C01645000,2019-02-15,C,1645.00,15.65
AMZN190215P01650000,2019-02-15,P,1650.00,28.13
AMZN190215C01650000,2019-02-15,C,1650.00,13.73
AMZN190215C01655000,2019-02-15,C,1655.00,12.09
AMZN190215P01655000,2019-02-15,P,1655.00,29.78
AMZN190215P01660000,2019-02-15,P,1660.00,32.81
AMZN190215C01660000,2019-02-15,C,1660.00,10.84
AMZN190215C01665000,2019-02-15,C,1665.00,9.53
AMZN190215P01665000,2019-02-15,P,1665.00,36.76
AMZN190215C01670000,2019-02-15,C,1670.00,8.45
AMZN190215P01670000,2019-02-15,P,1670.00,38.89
AMZN190215P01675000,2019-02-15,P,1675.00,41.53
AMZN190215C01675000,2019-02-15,C,1675.00,7.55
AMZN190215P01680000,2019-02-15,P,1680.00,44.89
