name,expiration,type,strike,implied_vol
SPY190215P00216000,2019-02-15,P,216.0,0.5105834360927572
SPY190215P00217000,2019-02-15,P,217.0,0.5026945738536318
SPY190215P00218000,2019-02-15,P,218.0,0.49202927543074276
SPY190215C00220000,2019-02-15,C,220.0,0.6748545896195169
SPY190215P00220000,2019-02-15,P,220.0,0.48294534463711714
SPY190215P00221000,2019-02-15,P,221.0,0.4644325505132261
SPY190215P00222000,2019-02-15,P,222.0,0.48682623811999853
SPY190215P00225000,2019-02-15,P,225.0,0.4579767851573427
SPY190215P00226000,2019-02-15,P,226.0,0.44841691965947067
SPY190215P00227000,2019-02-15,P,227.0,0.6092356781825385
SPY190215P00228000,2019-02-15,P,228.0,0.40105237985206077
SPY190215P00229000,2019-02-15,P,229.0,0.4198966428751836
SPY190215C00230000,2019-02-15,C,230.0,0.6229763478040695
SPY190215P00230000,2019-02-15,P,230.0,0.4042981896558991
SPY190215P00231000,2019-02-15,P,231.0,0.37428340033801927
SPY190215P00232000,2019-02-15,P,232.0,0.37419176467544285
SPY190215P00233000,2019-02-15,P,233.0,0.3889675945272226
SPY190215P00234000,2019-02-15,P,234.0,0.372851669331036
SPY190215C00235000,2019-02-15,C,235.0,0.4914560983347338
SPY190215P00235000,2019-02-15,P,235.0,0.36076400590979535
SPY190215P00236000,2019-02-15,P,236.0,0.35190610324635224
SPY190215P00237000,2019-02-15,P,237.0,0.35116245679538266
SPY190215C00238000,2019-02-15,C,238.0,0.46540345577214726
SPY190215P00238000,2019-02-15,P,238.0,0.3355995163588268
SPY190215P00239000,2019-02-15,P,239.0,0.3374254490103563
SPY190215C00240000,2019-02-15,C,240.0,0.3908137921933775
SPY190215P00240000,2019-02-15,P,240.0,0.3187912138526702
SPY190215C00241000,2019-02-15,C,241.0,0.42809450707468044
SPY190215P00241000,2019-02-15,P,241.0,0.3112170885286063
SPY190215C00242000,2019-02-15,C,242.0,0.3554098606109619
SPY190215P00242000,2019-02-15,P,242.0,0.3129483366866246
SPY190215C00243000,2019-02-15,C,243.0,0.413379016376677
SPY190215P00243000,2019-02-15,P,243.0,0.3084284570211035
SPY190215C00244000,2019-02-15,C,244.0,0.4249940169484992
SPY190215P00244000,2019-02-15,P,244.0,0.30422226547280234
SPY190215C00245000,2019-02-15,C,245.0,0.42333401900071366
SPY190215P00245000,2019-02-15,P,245.0,0.28672224420415776
SPY190215C00246000,2019-02-15,C,246.0,0.3807940775034379
SPY190215P00246000,2019-02-15,P,246.0,0.28679492833364345
SPY190215C00247000,2019-02-15,C,247.0,0.328372902011279
SPY190215P00247000,2019-02-15,P,247.0,0.2825731999428986
SPY190215C00248000,2019-02-15,C,248.0,0.32188292082191117
SPY190215P00248000,2019-02-15,P,248.0,0.26863265220466476
SPY190215P00249000,2019-02-15,P,249.0,0.261832637250271
SPY190215C00250000,2019-02-15,C,250.0,0.30153508697237286
SPY190215P00250000,2019-02-15,P,250.0,0.2557042187741955
SPY190215C00251000,2019-02-15,C,251.0,0.3511462409115402
SPY190215P00251000,2019-02-15,P,251.0,0.24952818975424218
SPY190215C00252000,2019-02-15,C,252.0,0.2855393611808692
SPY190215P00252000,2019-02-15,P,252.0,0.24203557797405115
SPY190215C00253000,2019-02-15,C,253.0,0.2862711355719768
SPY190215P00253000,2019-02-15,P,253.0,0.23491853338373286
SPY190215C00254000,2019-02-15,C,254.0,0.29861538103838875
SPY190215P00254000,2019-02-15,P,254.0,0.22539613192038768
SPY190215C00255000,2019-02-15,C,255.0,0.2397400568546861
SPY190215P00255000,2019-02-15,P,255.0,0.22192268420363326
SPY190215C00256000,2019-02-15,C,256.0,0.24582996895785705
SPY190215P00256000,2019-02-15,P,256.0,0.21634090891884417
SPY190215C00257000,2019-02-15,C,257.0,0.2594671356544066
SPY190215P00257000,2019-02-15,P,257.0,0.2089082493501551
SPY190215C00258000,2019-02-15,C,258.0,0.2148171833583287
SPY190215P00258000,2019-02-15,P,258.0,0.20250753368563054
SPY190215C00259000,2019-02-15,C,259.0,0.21678821713316673
SPY190215P00259000,2019-02-15,P,259.0,0.19729256934826941
SPY190215C00260000,2019-02-15,C,260.0,0.20072617344350122
SPY190215P00260000,2019-02-15,P,260.0,0.19045440742121938
SPY190215P00261000,2019-02-15,P,261.0,0.1831294813424425
SPY190215C00262000,2019-02-15,C,262.0,0.18904398203591216
SPY190215P00262000,2019-02-15,P,262.0,0.17799166462305563
SPY190215C00263000,2019-02-15,C,263.0,0.17502479961523587
SPY190215P00263000,2019-02-15,P,263.0,0.17122530876218206
SPY190215C00264000,2019-02-15,C,264.0,0.16773176974937565
SPY190215P00264000,2019-02-15,P,264.0,0.1644629041862
SPY190215C00265000,2019-02-15,C,265.0,0.1595995284482182
SPY190215P00265000,2019-02-15,P,265.0,0.15801235842887704
SPY190215C00266000,2019-02-15,C,266.0,0.15568796054337375
SPY190215P00266000,2019-02-15,P,266.0,0.1518562077866186
SPY190215C00267000,2019-02-15,C,267.0,0.1475665514426463
SPY190215P00267000,2019-02-15,P,267.0,0.1469728099110791
SPY190215C00268000,2019-02-15,C,268.0,0.13919694924060208
SPY190215P00268000,2019-02-15,P,268.0,0.14088907510118412
SPY190215C00269000,2019-02-15,C,269.0,0.1365114173011097
SPY190215P00269000,2019-02-15,P,269.0,0.13585533327458765
SPY190215C00270000,2019-02-15,C,270.0,0.13298826144479425
SPY190215P00270000,2019-02-15,P,270.0,0.13102530213573094
SPY190215C00271000,2019-02-15,C,271.0,0.1292855172510952
SPY190215P00271000,2019-02-15,P,271.0,0.12670740142197864
SPY190215C00272000,2019-02-15,C,272.0,0.12483576069707455
SPY190215P00272000,2019-02-15,P,272.0,0.12267567617509066
SPY190215C00273000,2019-02-15,C,273.0,0.12088632949477876
SPY190215P00273000,2019-02-15,P,273.0,0.11950711155181651
SPY190215C00274000,2019-02-15,C,274.0,0.11812486916856693
SPY190215P00274000,2019-02-15,P,274.0,0.11751507859095893
SPY190215C00275000,2019-02-15,C,275.0,0.11595551620054123
SPY190215P00275000,2019-02-15,P,275.0,0.11621205703071925
SPY190215C00276000,2019-02-15,C,276.0,0.11406975329074713
SPY190215P00276000,2019-02-15,P,276.0,0.11270024282548129
SPY190215C00277000,2019-02-15,C,277.0,0.11332081406927474
SPY190215P00277000,2019-02-15,P,277.0,0.11329505008413124
SPY190215C00278000,2019-02-15,C,278.0,0.11290690478156595
SPY190215P00278000,2019-02-15,P,278.0,0.1005133404674758
SPY190215C00279000,2019-02-15,C,279.0,0.11354740318434928
SPY190215P00279000,2019-02-15,P,279.0,0.12786541803273055
SPY190215C00280000,2019-02-15,C,280.0,0.11533855477257458
SPY190215P00280000,2019-02-15,P,280.0,0.1381998701193898
SPY190215C00281000,2019-02-15,C,281.0,0.11863212146417564
SPY190215C00282000,2019-02-15,C,282.0,0.11963784542230084
SPY190215P00282000,2019-02-15,P,282.0,0.131345412031335
SPY190215C00283000,2019-02-15,C,283.0,0.12342878619728186
SPY190215P00283000,2019-02-15,P,283.0,0.1622357804692506
SPY190215C00284000,2019-02-15,C,284.0,0.12756590343192412
SPY190215C00285000,2019-02-15,C,285.0,0.13167348359246997
SPY190215P00285000,2019-02-15,P,285.0,0.18646697144010174
SPY190215C00286000,2019-02-15,C,286.0,0.13660356516728317
SPY190215P00286000,2019-02-15,P,286.0,0.21869732291704846
SPY190215C00287000,2019-02-15,C,287.0,0.1377358278045264
