"Dates","Close"
2019-02-06 09:31:00,36.77
2019-02-06 09:33:00,36
2019-02-06 09:37:00,33.51
2019-02-06 09:45:00,34.65
2019-02-06 09:55:00,29.75
2019-02-06 09:56:00,29.51
2019-02-06 09:59:00,28.2
2019-02-06 10:00:00,26.81
2019-02-06 10:01:00,26.15
2019-02-06 10:02:00,25.69
2019-02-06 10:03:00,25.5
2019-02-06 10:08:00,24.17
2019-02-06 10:09:00,23.55
2019-02-06 10:12:00,22.4
2019-02-06 10:13:00,22.55
2019-02-06 10:15:00,21.35
2019-02-06 10:17:00,23.74
2019-02-06 10:18:00,23.21
2019-02-06 10:21:00,21.35
2019-02-06 10:23:00,20.65
2019-02-06 10:24:00,21
2019-02-06 10:36:00,24.45
2019-02-06 10:37:00,24.02
2019-02-06 10:42:00,24.46
2019-02-06 10:43:00,25.01
2019-02-06 10:44:00,24.95
2019-02-06 10:46:00,25.2
2019-02-06 10:59:00,24.2
2019-02-06 11:03:00,23.4
2019-02-06 11:05:00,24
2019-02-06 11:29:00,22.15
2019-02-06 11:50:00,22.15
2019-02-06 11:51:00,21.98
2019-02-06 11:59:00,21.65
2019-02-06 12:10:00,21.6
2019-02-06 13:56:00,20.49
2019-02-06 14:12:00,19.85
2019-02-06 14:38:00,19.55
2019-02-06 14:50:00,19.81
2019-02-06 15:03:00,19.27
2019-02-06 15:09:00,18.82
2019-02-06 15:29:00,19
2019-02-06 15:48:00,20.31
