"Dates","Close"
2019-02-06 09:46:00,59.5
2019-02-06 09:50:00,57.84
2019-02-06 09:51:00,56.5
2019-02-06 09:55:00,50.5
2019-02-06 10:03:00,46
2019-02-06 10:15:00,39.65
2019-02-06 10:16:00,42.95
2019-02-06 10:18:00,43
2019-02-06 10:19:00,42.05
2019-02-06 10:21:00,41.08
2019-02-06 10:28:00,40.24
2019-02-06 10:31:00,40.15
2019-02-06 10:32:00,42.6
2019-02-06 10:59:00,43.8
2019-02-06 11:20:00,43.2
2019-02-06 12:04:00,42.08
2019-02-06 12:15:00,40.82
2019-02-06 12:31:00,41.7
2019-02-06 12:37:00,41.4
2019-02-06 12:42:00,41
2019-02-06 12:47:00,40.4
2019-02-06 13:53:00,39
2019-02-06 14:12:00,38
2019-02-06 14:27:00,38.65
2019-02-06 14:45:00,39.33
2019-02-06 15:19:00,36.9
2019-02-06 15:26:00,37.25
2019-02-06 15:29:00,37
2019-02-06 15:36:00,37.45
2019-02-06 15:51:00,40.1
2019-02-06 15:56:00,38.65
