"Dates","Close"
2019-02-06 09:30:00,14.59
2019-02-06 09:31:00,14.45
2019-02-06 09:35:00,15.08
2019-02-06 09:41:00,15.45
2019-02-06 09:42:00,15.18
2019-02-06 09:50:00,15.38
2019-02-06 10:09:00,19.4
2019-02-06 10:19:00,20.25
2019-02-06 10:21:00,20.55
2019-02-06 10:24:00,22.06
2019-02-06 12:30:00,20.44
2019-02-06 14:03:00,20.8
2019-02-06 14:10:00,20.75
2019-02-06 14:54:00,20.3
2019-02-06 15:03:00,20.64
2019-02-06 15:41:00,20.05
2019-02-06 15:43:00,20.29
2019-02-06 15:56:00,20.35
2019-02-06 15:57:00,20.35
