"Dates","Close"
2019-02-06 09:30:00,13.22
2019-02-06 09:34:00,13.6
2019-02-06 09:53:00,13.49
2019-02-06 09:57:00,13.39
2019-02-06 10:10:00,12.81
2019-02-06 10:11:00,12.7
2019-02-06 10:15:00,12.54
2019-02-06 10:31:00,12.73
2019-02-06 10:49:00,13.27
2019-02-06 10:53:00,13.35
2019-02-06 10:55:00,13.46
2019-02-06 10:56:00,13.43
2019-02-06 11:28:00,12.88
2019-02-06 11:41:00,13.28
2019-02-06 11:45:00,13.18
2019-02-06 12:03:00,13.08
2019-02-06 12:04:00,13
2019-02-06 12:09:00,12.78
2019-02-06 12:18:00,12.75
2019-02-06 12:19:00,12.9
2019-02-06 12:28:00,13.12
2019-02-06 12:33:00,13.08
2019-02-06 12:39:00,13.18
2019-02-06 12:55:00,13.01
2019-02-06 13:06:00,13.2
2019-02-06 13:16:00,13.26
2019-02-06 13:26:00,13.21
2019-02-06 13:37:00,13.38
2019-02-06 13:46:00,13.27
2019-02-06 14:11:00,12.82
2019-02-06 14:16:00,12.83
2019-02-06 15:00:00,13
2019-02-06 15:14:00,13
2019-02-06 15:35:00,12.95
