"Dates","Close"
2019-02-06 09:30:00,52.45
2019-02-06 09:33:00,52.5
2019-02-06 09:34:00,52.49
2019-02-06 09:35:00,52.5
2019-02-06 09:36:00,50.4
2019-02-06 09:40:00,49.17
2019-02-06 09:41:00,48.7
2019-02-06 09:45:00,52
2019-02-06 09:53:00,47.1
2019-02-06 09:57:00,44.5
2019-02-06 09:58:00,43.35
2019-02-06 10:01:00,39
2019-02-06 10:04:00,39.45
2019-02-06 10:05:00,39.94
2019-02-06 10:07:00,39.18
2019-02-06 10:09:00,38
2019-02-06 10:10:00,36.35
2019-02-06 10:14:00,34.71
2019-02-06 10:19:00,34.75
2019-02-06 10:23:00,32.8
2019-02-06 10:30:00,35.05
2019-02-06 10:44:00,38.79
2019-02-06 10:50:00,39
2019-02-06 11:12:00,37.3
2019-02-06 11:13:00,37.15
2019-02-06 11:26:00,33.44
2019-02-06 11:34:00,36.55
2019-02-06 11:47:00,34.65
2019-02-06 12:34:00,35.4
2019-02-06 12:55:00,34.05
2019-02-06 13:07:00,34
2019-02-06 13:08:00,34
2019-02-06 13:25:00,34.65
2019-02-06 13:28:00,34
2019-02-06 13:59:00,32.7
2019-02-06 14:14:00,32.35
2019-02-06 14:18:00,32.1
2019-02-06 14:27:00,32.65
2019-02-06 14:47:00,32.54
2019-02-06 15:10:00,30.4
2019-02-06 15:21:00,30.95
2019-02-06 15:33:00,30.5
2019-02-06 15:51:00,33.93
2019-02-06 15:56:00,33.25
