name,expiration,type,strike,implied_vol
SPY190215P00216000,2019-02-15,P,216.0,0.4180494415790529
SPY190215P00217000,2019-02-15,P,217.0,0.411174376602368
SPY190215P00218000,2019-02-15,P,218.0,0.4024843791561663
SPY190215C00220000,2019-02-15,C,220.0,0.6748545896195169
SPY190215P00220000,2019-02-15,P,220.0,0.39316105415754
SPY190215P00221000,2019-02-15,P,221.0,0.3793626795034579
SPY190215P00222000,2019-02-15,P,222.0,0.3923273574360801
SPY190215P00225000,2019-02-15,P,225.0,0.36844059634391607
SPY190215P00226000,2019-02-15,P,226.0,0.36053417283860617
SPY190215P00227000,2019-02-15,P,227.0,0.45633983124247596
SPY190215P00228000,2019-02-15,P,228.0,0.3263965835961539
SPY190215P00229000,2019-02-15,P,229.0,0.33697590498668156
SPY190215C00230000,2019-02-15,C,230.0,0.6229763478040695
SPY190215P00230000,2019-02-15,P,230.0,0.32519168561072
SPY190215P00231000,2019-02-15,P,231.0,0.30408811691167104
SPY190215P00232000,2019-02-15,P,232.0,0.3023834789500517
SPY190215P00233000,2019-02-15,P,233.0,0.31018948615969294
SPY190215P00234000,2019-02-15,P,234.0,0.2982148002175724
SPY190215C00235000,2019-02-15,C,235.0,0.4914560983347338
SPY190215P00235000,2019-02-15,P,235.0,0.28873788731177447
SPY190215P00236000,2019-02-15,P,236.0,0.28140371717760326
SPY190215P00237000,2019-02-15,P,237.0,0.2792122662829621
SPY190215C00238000,2019-02-15,C,238.0,0.46540345577214726
SPY190215P00238000,2019-02-15,P,238.0,0.2676158548925844
SPY190215P00239000,2019-02-15,P,239.0,0.26702857688259896
SPY190215C00240000,2019-02-15,C,240.0,0.3908137921933775
SPY190215P00240000,2019-02-15,P,240.0,0.25351754844646013
SPY190215C00241000,2019-02-15,C,241.0,0.42809450707468044
SPY190215P00241000,2019-02-15,P,241.0,0.24700246503590928
SPY190215C00242000,2019-02-15,C,242.0,0.3554098606109619
SPY190215P00242000,2019-02-15,P,242.0,0.24634772249499856
SPY190215C00243000,2019-02-15,C,243.0,0.413379016376677
SPY190215P00243000,2019-02-15,P,243.0,0.24172608504819748
SPY190215C00244000,2019-02-15,C,244.0,0.4249940169484992
SPY190215P00244000,2019-02-15,P,244.0,0.23729632882510915
SPY190215C00245000,2019-02-15,C,245.0,0.42333401900071366
SPY190215P00245000,2019-02-15,P,245.0,0.22461953370467477
SPY190215C00246000,2019-02-15,C,246.0,0.3807940775034379
SPY190215P00246000,2019-02-15,P,246.0,0.22283757739054882
SPY190215C00247000,2019-02-15,C,247.0,0.328372902011279
SPY190215P00247000,2019-02-15,P,247.0,0.21837750359264482
SPY190215C00248000,2019-02-15,C,248.0,0.32188292082191117
SPY190215P00248000,2019-02-15,P,248.0,0.2079607214769134
SPY190215P00249000,2019-02-15,P,249.0,0.20192688993175925
SPY190215C00250000,2019-02-15,C,250.0,0.30153508697237286
SPY190215P00250000,2019-02-15,P,250.0,0.1962907966750357
SPY190215C00251000,2019-02-15,C,251.0,0.3511462409115402
SPY190215P00251000,2019-02-15,P,251.0,0.19062775175284852
SPY190215C00252000,2019-02-15,C,252.0,0.2855393611808692
SPY190215P00252000,2019-02-15,P,252.0,0.18416079108977257
SPY190215C00253000,2019-02-15,C,253.0,0.2862711355719768
SPY190215P00253000,2019-02-15,P,253.0,0.17791476091155617
SPY190215C00254000,2019-02-15,C,254.0,0.29861538103838875
SPY190215P00254000,2019-02-15,P,254.0,0.17023541433427036
SPY190215C00255000,2019-02-15,C,255.0,0.2397400568546861
SPY190215P00255000,2019-02-15,P,255.0,0.16614805402048408
SPY190215C00256000,2019-02-15,C,256.0,0.24582996895785705
SPY190215P00256000,2019-02-15,P,256.0,0.16078886778458304
SPY190215C00257000,2019-02-15,C,257.0,0.2594671356544066
SPY190215P00257000,2019-02-15,P,257.0,0.15432878528409602
SPY190215C00258000,2019-02-15,C,258.0,0.2148171833583287
SPY190215P00258000,2019-02-15,P,258.0,0.14846573705258576
SPY190215C00259000,2019-02-15,C,259.0,0.21678821713316673
SPY190215P00259000,2019-02-15,P,259.0,0.14327652923896184
SPY190215C00260000,2019-02-15,C,260.0,0.20072617344350122
SPY190215P00260000,2019-02-15,P,260.0,0.1371335251556943
SPY190215P00261000,2019-02-15,P,261.0,0.13070634563865563
SPY190215C00262000,2019-02-15,C,262.0,0.18904398203591216
SPY190215P00262000,2019-02-15,P,262.0,0.12552745506891508
SPY190215C00263000,2019-02-15,C,263.0,0.17502479961523587
SPY190215P00263000,2019-02-15,P,263.0,0.11941925643959923
SPY190215C00264000,2019-02-15,C,264.0,0.16773176974937565
SPY190215P00264000,2019-02-15,P,264.0,0.11333376550308578
SPY190215C00265000,2019-02-15,C,265.0,0.1595995284482182
SPY190215P00265000,2019-02-15,P,265.0,0.10747603443272584
SPY190215C00266000,2019-02-15,C,266.0,0.15568796054337375
SPY190215P00266000,2019-02-15,P,266.0,0.10189264936520316
SPY190215C00267000,2019-02-15,C,267.0,0.1475665514426463
SPY190215P00267000,2019-02-15,P,267.0,0.09729181714070118
SPY190215C00268000,2019-02-15,C,268.0,0.13919694924060208
SPY190215P00268000,2019-02-15,P,268.0,0.09244671258170281
SPY190215C00269000,2019-02-15,C,269.0,0.1365114173011097
SPY190215P00269000,2019-02-15,P,269.0,0.08925885495627323
SPY190215C00270000,2019-02-15,C,270.0,0.13298826144479425
SPY190215P00270000,2019-02-15,P,270.0,0.08841481660028248
SPY190215C00271000,2019-02-15,C,271.0,0.1292855172510952
SPY190215P00271000,2019-02-15,P,271.0,0.09264454512340028
SPY190215C00272000,2019-02-15,C,272.0,0.12483576069707455
SPY190215P00272000,2019-02-15,P,272.0,0.10526036362513862
SPY190215C00273000,2019-02-15,C,273.0,0.12088632949477876
SPY190215P00273000,2019-02-15,P,273.0,0.1284050392677717
SPY190215C00274000,2019-02-15,C,274.0,0.11812486916856693
SPY190215P00274000,2019-02-15,P,274.0,0.16080216068745878
SPY190215C00275000,2019-02-15,C,275.0,0.11595551620054123
SPY190215P00275000,2019-02-15,P,275.0,0.19981958677091866
SPY190215C00276000,2019-02-15,C,276.0,0.11406975329074713
SPY190215P00276000,2019-02-15,P,276.0,0.24198950404096442
SPY190215C00277000,2019-02-15,C,277.0,0.11332081406927474
SPY190215P00277000,2019-02-15,P,277.0,0.2910963165790529
SPY190215C00278000,2019-02-15,C,278.0,0.11290690478156595
SPY190215P00278000,2019-02-15,P,278.0,0.32880091606198675
